2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-08\BestTimeToBuyAndSellStockII.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-07\BestTimeToBuyAndSellStock.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-06\RotateArray.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-14\FizzBuzz.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-13\LengthOfLastWord.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-47\ReverseString.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-12\ProductExceptSelf.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-11\HIndex.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-10\JumpGameII.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-19\MaxSubarray.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-18\Sqrt.java. Using fallback presentation compiler.
2026.04.29 19:42:24 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-17\MissingNumber.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-16\PlusOne.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-15\ContainsDuplicate.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-25\DivideIntegers.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-24\ReverseInteger.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-23\SearchRange.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-22\PalindromeNumber.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-45\RansomNote.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-44\IsomorphicStrings.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-43\MaxAscendingSum.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-42\SubstringsOfSizeThree.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-38\MaximumAverageSubarrayI.java. Using fallback presentation compiler.
2026.04.29 19:42:25 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-27\RomanToInteger.java. Using fallback presentation compiler.
2026.04.29 19:42:52 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:42:52 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:42:52 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
Apr 29, 2026 7:42:54 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 32
2026.04.29 19:42:54 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:42:54 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
2026.04.29 19:42:54 INFO  time: code lens generation in 2.06s
2026.04.29 19:42:54 INFO  no build target found for C:\Users\elang\OneDrive\Desktop\DSA_LeetCode\Day-65\LongestHarmoniousSubsequence.java. Using fallback presentation compiler.
